"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"205";"Frisange";"Y55T59";"From 55 to 59 years";"Female";"173";"4768";"344";"50.3"
"2021";"707";"Saeul";"Y5T9";"From 5 to 9 years";"Total";"59";"960";"59";"6.1"
"2021";"307";"Schuttrange";"Y50T54";"From 50 to 54 years";"Female";"178";"4306";"352";"50.6"
"2021";"703";"Ell";"Y20T24";"From 20 to 24 years";"Female";"49";"1547";"98";"50.0"
"2021";"10";"Canton Echternach";"Y55T59";"From 55 to 59 years";"Female";"712";"19679";"1480";"48.1"
"2021";"403";"Helperknapp";"_T";"Total";"Male";"2362";"4664";"4664";"50.6"
"2021";"603";"Diekirch";"Y60T64";"From 60 to 64 years";"Female";"211";"7143";"433";"48.7"
"2021";"106";"Koerich";"Y_GE85";"85 years or over";"Male";"9";"2649";"30";"30.0"
"2021";"110";"Steinfort";"Y_GE85";"85 years or over";"Male";"40";"5717";"117";"34.2"
"2021";"107";"Kopstal";"Y_LT5";"Less than 5 years";"Male";"84";"4137";"190";"44.2"
"2021";"1002";"Bech";"Y_GE100";"100 years or over";"Female";"0";"1330";"0";"0.0"
"2021";"401";"Colmar-Berg";"Y95T99";"From 95 to 99 years";"Total";"0";"2271";"0";"0.0"
"2021";"403";"Helperknapp";"Y55T59";"From 55 to 59 years";"Total";"312";"4664";"312";"6.7"
"2021";"3";"Canton Luxembourg";"Y_GE100";"100 years or over";"Female";"22";"197932";"31";"71.0"
"2021";"203";"Dudelange";"Y_GE100";"100 years or over";"Male";"1";"21568";"4";"25.0"
"2021";"609";"Schieren";"Y60T64";"From 60 to 64 years";"Female";"65";"2113";"127";"51.2"
"2021";"1005";"Echternach";"Y55T59";"From 55 to 59 years";"Male";"227";"5690";"436";"52.1"
"2021";"604";"Erpeldange-sur-Sûre";"Y95T99";"From 95 to 99 years";"Male";"0";"2435";"2";"0.0"
"2021";"502";"Wincrange";"Y35T39";"From 35 to 39 years";"Total";"300";"4671";"300";"6.4"
"2021";"401";"Colmar-Berg";"Y5T9";"From 5 to 9 years";"Total";"141";"2271";"141";"6.2"
